entrega_id,pedido_id,transportadora,data_envio,data_entrega,frete
1,4927,Correios,2025-01-28,2025-01-30,20
2,1972,Correios,2025-05-21,2025-05-24,-5
3,4581,LogX,2025-04-10,2025-04-09,35
4,540,Correios,2025-04-08,2025-04-12,-5
5,849,LogX,2025-04-23,2025-04-23,20
6,3038,LogX,2025-03-13,2025-03-17,35
7,2767,Correios,2025-06-18,2025-06-28,-5
8,2461,Correios,2025-04-18,2025-04-23,-5
9,1672,LogX,2025-05-09,2025-05-11,20
10,4457,Correios,2025-04-10,2025-04-20,-5
11,727,LogX,2025-03-23,2025-03-21,-5
12,502,Correios,2025-05-21,2025-05-29,35
13,4870,LogX,2025-02-14,2025-02-20,35
14,3224,LogX,2025-05-07,2025-05-16,20
15,487,LogX,2025-01-15,2025-01-16,35
16,4110,Correios,2025-04-07,2025-04-11,35
17,4863,LogX,2025-02-16,2025-02-24,20
18,2226,LogX,2025-05-05,2025-05-05,-5
19,3763,Correios,2025-02-02,2025-02-08,35
20,3717,LogX,2025-02-17,2025-02-25,20
21,1735,LogX,2025-03-27,2025-03-25,35
22,3982,LogX,2025-05-16,2025-05-25,35
23,1557,Correios,2025-01-26,2025-01-25,-5
24,3408,Correios,2025-02-15,2025-02-16,-5
25,198,Correios,2025-02-25,2025-03-06,35
26,794,Correios,2025-02-01,2025-02-08,20
27,1406,LogX,2025-06-26,2025-07-01,-5
28,2306,LogX,2025-05-17,2025-05-15,35
29,1760,LogX,2025-01-19,2025-01-19,35
30,3675,Correios,2025-05-31,2025-06-06,20
31,4549,LogX,2025-03-27,2025-04-05,-5
32,4801,Correios,2025-02-03,2025-02-03,35
33,4050,LogX,2025-03-31,2025-04-07,20
34,2443,LogX,2025-03-31,2025-04-02,-5
35,3501,LogX,2025-04-07,2025-04-13,20
36,3106,Correios,2025-03-04,2025-03-02,20
37,1140,Correios,2025-05-08,2025-05-07,-5
38,2728,Correios,2025-04-19,2025-04-19,35
39,632,Correios,2025-03-19,2025-03-29,35
40,3519,Correios,2025-05-29,2025-06-07,-5
41,3245,Correios,2025-06-22,2025-06-22,-5
42,153,LogX,2025-01-13,2025-01-11,-5
43,2358,LogX,2025-02-06,2025-02-11,-5
44,2603,LogX,2025-05-08,2025-05-07,20
45,197,Correios,2025-03-15,2025-03-17,20
46,4454,LogX,2025-04-27,2025-05-07,35
47,4932,Correios,2025-04-17,2025-04-16,20
48,3283,Correios,2025-06-16,2025-06-25,20
49,2209,Correios,2025-05-29,2025-06-07,20
50,4603,LogX,2025-02-02,2025-02-03,35
51,1538,Correios,2025-05-28,2025-06-01,20
52,2464,Correios,2025-04-06,2025-04-11,20
53,1529,LogX,2025-05-12,2025-05-17,20
54,3933,LogX,2025-06-25,2025-06-25,-5
55,1591,LogX,2025-04-07,2025-04-08,35
56,4708,LogX,2025-05-12,2025-05-19,20
57,4952,Correios,2025-04-02,2025-04-02,35
58,3505,Correios,2025-06-17,2025-06-24,-5
59,287,LogX,2025-01-25,2025-01-31,20
60,2210,Correios,2025-01-06,2025-01-11,35
61,4639,LogX,2025-04-30,2025-05-02,35
62,4791,Correios,2025-03-28,2025-03-26,-5
63,3218,Correios,2025-02-07,2025-02-15,20
64,4797,LogX,2025-02-13,2025-02-15,20
65,4022,Correios,2025-02-23,2025-03-01,35
66,3801,LogX,2025-06-09,2025-06-18,-5
67,1522,LogX,2025-02-01,2025-02-03,35
