pedido_id,cliente_id,produto_id,quantidade,valor_unitario,desconto,data_pedido,status
1,133,42,5,99.9,0,2025-06-03,Pago
2,84,39,4,200.0,0,2025-03-22,Enviado
3,267,9,4,150.0,120,2025-05-07,Cancelado
4,349,37,4,200.0,0,2025-04-14,Pago
5,496,27,5,200.0,120,11/06/2025,Cancelado
6,439,23,2,150.0,0,2025-05-12,Cancelado
7,410,40,3,200.0,10,13/06/2025,Cancelado
8,225,48,3,200.0,120,15/04/2025,Pago
9,129,82,3,150.0,120,03/02/2025,Enviado
10,413,64,3,150.0,0,13/01/2025,Pago
11,489,20,2,150.0,0,15/06/2025,Pago
12,156,35,2,200.0,0,18/04/2025,Cancelado
13,249,93,4,150.0,0,21/01/2025,Cancelado
14,165,19,2,200.0,10,2025-05-05,Pago
15,322,67,4,200.0,0,24/03/2025,Pago
16,205,43,3,150.0,10,2025-01-16,Cancelado
17,486,74,3,150.0,10,2025-01-21,Cancelado
18,227,42,3,99.9,120,21/04/2025,Pago
19,372,76,1,200.0,120,15/03/2025,Pago
20,172,15,4,150.0,10,08/03/2025,Cancelado
21,54,49,4,150.0,0,06/02/2025,Enviado
22,77,27,4,99.9,10,02/03/2025,Pago
23,343,27,5,99.9,120,15/06/2025,Cancelado
24,237,61,3,150.0,10,2025-06-21,Pago
25,167,14,4,200.0,120,30/03/2025,Cancelado
26,36,35,4,150.0,10,06/02/2025,Cancelado
27,306,36,5,200.0,0,2025-05-20,Cancelado
28,468,49,1,150.0,120,2025-01-24,Pago
29,317,15,1,99.9,120,01/01/2025,Pago
30,330,48,4,200.0,10,2025-06-23,Cancelado
31,381,100,4,150.0,10,2025-06-15,Cancelado
32,442,14,3,150.0,120,2025-06-04,Cancelado
33,400,22,1,99.9,10,18/06/2025,Pago
34,317,3,4,200.0,120,11/02/2025,Pago
35,15,18,2,200.0,10,23/06/2025,Cancelado
36,72,73,5,99.9,120,2025-02-02,Pago
37,458,26,1,99.9,10,31/05/2025,Cancelado
38,272,1,4,99.9,120,01/05/2025,Cancelado
39,14,99,5,150.0,0,2025-06-08,Cancelado
40,267,60,5,200.0,10,07/03/2025,Pago
41,208,57,3,150.0,120,24/01/2025,Cancelado
42,432,7,4,150.0,0,2025-04-07,Pago
43,92,89,4,99.9,0,2025-03-31,Cancelado
44,143,97,4,200.0,10,2025-01-20,Pago
45,228,70,5,150.0,120,12/01/2025,Pago
46,77,26,2,99.9,10,2025-01-03,Cancelado
47,409,100,5,150.0,120,2025-02-13,Cancelado
48,460,46,5,150.0,0,2025-04-12,Enviado
49,233,80,2,150.0,10,2025-06-08,Cancelado
50,2,19,2,150.0,0,2025-03-29,Pago
51,236,37,2,200.0,120,2025-06-15,Enviado
52,437,26,2,99.9,10,2025-01-20,Pago
53,27,58,5,200.0,10,23/04/2025,Enviado
54,484,79,5,99.9,0,2025-02-02,Cancelado
55,163,15,3,99.9,10,06/05/2025,Cancelado
56,3,48,5,99.9,0,30/01/2025,Pago
57,134,32,1,200.0,10,11/01/2025,Enviado
58,256,44,5,99.9,0,2025-06-03,Cancelado
59,74,47,2,150.0,10,23/01/2025,Cancelado
60,41,32,2,99.9,0,2025-06-07,Enviado
61,42,16,5,200.0,10,2025-03-21,Enviado
62,468,81,3,99.9,0,14/03/2025,Pago
63,397,26,1,150.0,0,29/04/2025,Pago
64,155,33,5,200.0,120,27/05/2025,Cancelado
65,338,47,4,150.0,120,31/01/2025,Pago
66,77,81,3,150.0,120,2025-05-31,Enviado
67,207,35,3,99.9,120,2025-01-12,Pago
68,167,73,1,99.9,120,06/04/2025,Pago
69,387,28,3,150.0,120,2025-04-27,Cancelado
70,115,44,3,99.9,0,31/01/2025,Pago
71,263,69,1,150.0,0,18/04/2025,Pago
72,390,67,4,200.0,0,2025-04-11,Enviado
73,494,26,4,150.0,10,14/05/2025,Cancelado
74,5,68,5,200.0,120,23/05/2025,Pago
75,202,19,2,200.0,10,2025-04-08,Cancelado
76,207,7,4,99.9,120,2025-01-30,Pago
77,313,87,3,150.0,120,28/03/2025,Pago
78,114,88,4,200.0,120,2025-04-15,Pago
79,291,44,2,99.9,0,18/02/2025,Pago
80,275,97,3,150.0,120,12/05/2025,Pago
81,195,10,2,150.0,0,31/03/2025,Enviado
82,264,54,4,150.0,0,05/04/2025,Cancelado
83,361,89,1,200.0,10,20/06/2025,Pago
84,412,43,4,200.0,0,2025-03-31,Enviado
85,51,29,3,150.0,0,2025-03-03,Cancelado
