produto_id,nome,categoria,preco,peso
1,Produto 1,eletronicos,-10.0,0.5kg
2,Produto 2,Eletrônicos,99.9,0.5kg
3,Produto 3,eletronicos,-10.0,1000
4,Produto 4,eletronicos,-10.0,1000
5,Produto 5,Eletrônicos,99.9,0.5kg
6,Produto 6,eletronicos,99.9,500g
7,Produto 7,Eletrônicos,-10.0,1000
8,Produto 8,Casa,99.9,500g
9,Produto 9,Eletrônicos,99.9,0.5kg
10,Produto 10,Eletrônicos,-10.0,0.5kg
11,Produto 11,Eletrônicos,150.0,1000
12,Produto 12,Casa,150.0,0.5kg
13,Produto 13,Casa,-10.0,0.5kg
14,Produto 14,Casa,99.9,500g
15,Produto 15,Eletrônicos,-10.0,1000
16,Produto 16,Eletrônicos,-10.0,500g
17,Produto 17,Eletrônicos,99.9,0.5kg
18,Produto 18,eletronicos,150.0,1000
19,Produto 19,eletronicos,-10.0,1000
20,Produto 20,Casa,150.0,0.5kg
21,Produto 21,Eletrônicos,-10.0,1000
22,Produto 22,Eletrônicos,150.0,1000
23,Produto 23,eletronicos,99.9,500g
24,Produto 24,eletronicos,-10.0,1000
25,Produto 25,Casa,99.9,1000
26,Produto 26,Casa,-10.0,1000
27,Produto 27,eletronicos,150.0,500g
28,Produto 28,Casa,-10.0,500g
29,Produto 29,Casa,150.0,1000
30,Produto 30,Eletrônicos,99.9,500g
31,Produto 31,Eletrônicos,99.9,1000
32,Produto 32,Eletrônicos,150.0,0.5kg
33,Produto 33,Casa,150.0,500g
34,Produto 34,Eletrônicos,150.0,500g
35,Produto 35,eletronicos,150.0,0.5kg
36,Produto 36,Eletrônicos,99.9,1000
37,Produto 37,eletronicos,-10.0,1000
38,Produto 38,Eletrônicos,-10.0,500g
39,Produto 39,Casa,99.9,0.5kg
40,Produto 40,Casa,150.0,1000
41,Produto 41,Eletrônicos,150.0,500g
42,Produto 42,Eletrônicos,99.9,1000
43,Produto 43,Eletrônicos,150.0,500g
44,Produto 44,Casa,-10.0,0.5kg
45,Produto 45,Eletrônicos,99.9,0.5kg
46,Produto 46,Casa,99.9,500g
47,Produto 47,Eletrônicos,99.9,1000
48,Produto 48,Eletrônicos,99.9,500g
49,Produto 49,Casa,-10.0,500g
50,Produto 50,Eletrônicos,99.9,0.5kg
51,Produto 51,eletronicos,-10.0,500g
52,Produto 52,Eletrônicos,150.0,1000
53,Produto 53,eletronicos,-10.0,500g
54,Produto 54,Eletrônicos,150.0,0.5kg
55,Produto 55,Eletrônicos,99.9,0.5kg
56,Produto 56,Casa,99.9,0.5kg
57,Produto 57,eletronicos,150.0,500g
58,Produto 58,Casa,99.9,1000
59,Produto 59,Casa,-10.0,500g
60,Produto 60,Casa,-10.0,500g
61,Produto 61,eletronicos,99.9,500g
62,Produto 62,Eletrônicos,150.0,500g
63,Produto 63,Eletrônicos,150.0,0.5kg
64,Produto 64,eletronicos,150.0,0.5kg
65,Produto 65,Casa,-10.0,1000
66,Produto 66,eletronicos,150.0,500g
67,Produto 67,Casa,150.0,500g
68,Produto 68,Casa,-10.0,500g
69,Produto 69,eletronicos,99.9,0.5kg
70,Produto 70,Eletrônicos,-10.0,1000
71,Produto 71,Casa,150.0,500g
72,Produto 72,eletronicos,-10.0,0.5kg
73,Produto 73,Eletrônicos,99.9,1000
74,Produto 74,Eletrônicos,-10.0,0.5kg
75,Produto 75,Casa,-10.0,500g
76,Produto 76,eletronicos,-10.0,500g
77,Produto 77,eletronicos,150.0,0.5kg
78,Produto 78,Casa,99.9,500g
79,Produto 79,Eletrônicos,99.9,500g
80,Produto 80,eletronicos,99.9,1000
81,Produto 81,Casa,150.0,500g
82,Produto 82,Casa,150.0,1000
83,Produto 83,Casa,150.0,1000
84,Produto 84,eletronicos,99.9,500g
85,Produto 85,eletronicos,99.9,1000
86,Produto 86,Casa,150.0,0.5kg
87,Produto 87,eletronicos,-10.0,0.5kg
88,Produto 88,Casa,-10.0,1000
89,Produto 89,Casa,99.9,0.5kg
90,Produto 90,eletronicos,99.9,1000
91,Produto 91,Eletrônicos,150.0,0.5kg
92,Produto 92,Casa,-10.0,500g
93,Produto 93,Eletrônicos,-10.0,0.5kg
94,Produto 94,Eletrônicos,150.0,0.5kg
94,Produto 95,eletronicos,-10.0,500g
96,Produto 96,Eletrônicos,150.0,1000
97,Produto 97,eletronicos,-10.0,1000
98,Produto 98,Eletrônicos,-10.0,1000
99,Produto 99,eletronicos,99.9,1000
100,Produto 100,eletronicos,99.9,0.5kg
