pagamento_id,pedido_id,forma_pagamento,valor_pago,status_pagamento
1,688,Cartão,250.0,Pago
2,1728,PIX,150.0,Estornado
3,3121,Cartão,250.0,Pendente
4,1133,Cartão,99.9,Pendente
5,2308,PIX,250.0,Estornado
6,3056,Boleto,250.0,Pago
7,4435,PIX,150.0,Pendente
8,3181,Cartão,250.0,Pago
9,4542,Boleto,150.0,Pendente
10,4276,PIX,150.0,Pago
11,834,Boleto,250.0,Pago
12,1133,PIX,250.0,Pago
13,81,PIX,250.0,Pendente
14,4001,Boleto,250.0,Pago
15,4970,PIX,99.9,Pago
16,2698,Cartão,250.0,Pendente
17,4997,PIX,99.9,Estornado
18,3177,Boleto,150.0,Estornado
19,224,Cartão,99.9,Pago
20,1894,Boleto,99.9,Estornado
21,4453,PIX,99.9,Pago
22,128,Cartão,99.9,Pago
23,3016,Boleto,250.0,Pago
24,1773,Boleto,99.9,Estornado
25,4033,Boleto,150.0,Pago
26,1939,Cartão,99.9,Pago
27,2937,Cartão,250.0,Pendente
28,3819,Boleto,150.0,Pendente
29,1202,PIX,150.0,Pago
30,1971,PIX,250.0,Pendente
31,1914,Cartão,250.0,Pago
32,3845,Cartão,99.9,Pago
33,3458,Cartão,150.0,Estornado
34,575,Cartão,150.0,Pendente
35,3578,Boleto,99.9,Estornado
36,3980,Boleto,250.0,Pago
37,861,PIX,250.0,Estornado
38,3960,Boleto,99.9,Estornado
39,1847,Boleto,150.0,Pago
40,1267,Cartão,99.9,Pago
41,72,Cartão,99.9,Pendente
42,4740,Boleto,150.0,Pago
43,936,PIX,250.0,Pago
44,2379,Boleto,99.9,Pendente
45,1710,Cartão,250.0,Pendente
46,3593,PIX,250.0,Estornado
47,4071,PIX,99.9,Pendente
48,3154,PIX,150.0,Pago
49,399,Boleto,99.9,Pendente
50,1368,Cartão,250.0,Estornado
51,3098,Cartão,150.0,Estornado
52,4053,PIX,250.0,Pago
53,3360,PIX,250.0,Estornado
54,127,PIX,99.9,Pendente
55,347,PIX,150.0,Pago
56,1507,PIX,99.9,Pendente
57,5000,Cartão,250.0,Pago
58,1989,Boleto,99.9,Pago
59,2399,Cartão,150.0,Estornado
60,709,Cartão,99.9,Estornado
61,4491,PIX,250.0,Pendente
62,1636,Boleto,99.9,Pendente
63,3115,PIX,250.0,Pendente
64,1986,Boleto,150.0,Estornado
65,2009,Boleto,250.0,Pendente
66,4267,PIX,250.0,Pendente
67,3480,Cartão,150.0,Estornado
68,2935,Boleto,250.0,Pago
69,2907,Cartão,150.0,Pago
70,1934,Boleto,150.0,Pago
71,2272,Boleto,250.0,Pendente
72,4326,PIX,150.0,Pendente
73,1549,PIX,250.0,Estornado
74,306,Cartão,150.0,Pendente
75,1311,Boleto,150.0,Pendente
76,3115,PIX,150.0,Pendente
77,4992,Cartão,250.0,Pago
78,2987,PIX,99.9,Pendente
79,3504,Cartão,250.0,Estornado
80,2228,PIX,250.0,Estornado
81,1675,Cartão,99.9,Pago
82,282,Boleto,150.0,Pago
83,871,Cartão,250.0,Pago
84,4327,Boleto,99.9,Pago
85,3853,Cartão,99.9,Estornado
86,1525,PIX,150.0,Pago
87,150,Cartão,150.0,Pendente
88,185,Boleto,250.0,Estornado
89,2708,PIX,99.9,Pago
90,4050,PIX,99.9,Estornado
91,1038,Boleto,250.0,Pendente
92,702,Boleto,250.0,Pago
93,2273,Boleto,250.0,Pendente
94,1223,PIX,99.9,Pago
95,1744,Boleto,150.0,Estornado
96,564,Boleto,150.0,Estornado
97,3027,Cartão,150.0,Estornado
98,3873,PIX,250.0,Estornado
99,1278,PIX,150.0,Pago
100,1291,PIX,250.0,Pago
101,679,PIX,250.0,Estornado
102,4711,Boleto,250.0,Pendente
103,3866,Boleto,99.9,Estornado
104,124,Boleto,250.0,Pago
105,4874,Cartão,150.0,Pago
106,4809,PIX,250.0,Pendente
107,788,Boleto,150.0,Pendente
108,1148,Boleto,99.9,Pago
109,2648,Cartão,99.9,Pago
110,4144,Boleto,150.0,Pendente
111,824,Boleto,99.9,Pendente
112,769,Boleto,150.0,Pago
113,4885,Cartão,99.9,Estornado
114,3856,Boleto,99.9,Pendente
115,3188,Boleto,150.0,Pendente
116,3477,Cartão,99.9,Pendente
117,3916,PIX,99.9,Pendente
118,3369,Boleto,99.9,Estornado
119,2219,Boleto,250.0,Pendente
120,2507,PIX,150.0,Estornado
121,1853,Cartão,250.0,Pago
122,1170,Cartão,250.0,Estornado
123,2126,PIX,250.0,Estornado
124,3119,Boleto,99.9,Pendente
125,3369,Boleto,99.9,Pago
126,1381,PIX,250.0,Pago
127,2024,Boleto,99.9,Pago
128,1589,Boleto,99.9,Pendente
129,1288,PIX,150.0,Estornado
130,3269,Boleto,99.9,Pago
131,2172,Boleto,250.0,Pago
132,4721,PIX,150.0,Pendente
133,501,PIX,250.0,Estornado
134,3109,PIX,150.0,Pago
135,4954,Cartão,99.9,Pago
136,4778,Cartão,150.0,Pago
137,3809,Boleto,250.0,Pago
138,1527,Boleto,99.9,Pendente
139,993,PIX,150.0,Pendente
140,4189,Cartão,150.0,Pago
141,1749,PIX,250.0,Estornado
142,4745,Cartão,150.0,Estornado
143,1778,Cartão,250.0,Estornado
144,3680,Cartão,99.9,Pago
145,2306,PIX,99.9,Estornado
146,4369,Boleto,99.9,Pendente
147,2878,Boleto,150.0,Pendente
148,2931,Cartão,99.9,Pendente
149,2341,Cartão,99.9,Pendente
150,4669,Boleto,250.0,Estornado
151,699,Boleto,99.9,Estornado
152,243,PIX,99.9,Pago
153,2560,Boleto,99.9,Pendente
154,1980,Cartão,99.9,Pendente
155,1050,Cartão,99.9,Pendente
156,4375,Cartão,250.0,Pago
157,3042,Cartão,250.0,Estornado
158,2727,Boleto,99.9,Pendente
159,1841,Boleto,250.0,Pendente
160,2408,PIX,99.9,Estornado
161,1329,Boleto,99.9,Pendente
162,4365,PIX,250.0,Pendente
163,3617,Cartão,150.0,Estornado
164,2050,Cartão,99.9,Pendente
165,4430,Boleto,250.0,Pendente
166,4515,PIX,99.9,Estornado
167,4135,Boleto,99.9,Pendente
168,2578,PIX,99.9,Pago
169,4523,Boleto,250.0,Estornado
170,3459,Cartão,150.0,Estornado
171,251,Boleto,99.9,Estornado
172,1261,Cartão,99.9,Estornado
173,2918,Cartão,99.9,Pago
174,4390,PIX,99.9,Pago
175,1109,Cartão,150.0,Pendente
176,4199,Boleto,99.9,Pendente
177,1889,Boleto,150.0,Pago
178,1666,PIX,99.9,Pago
179,770,Boleto,250.0,Estornado
180,1153,Cartão,150.0,Pendente
181,1172,Cartão,150.0,Estornado
182,1673,Cartão,99.9,Estornado
183,61,Cartão,150.0,Pago
184,2461,Boleto,150.0,Estornado
185,477,Cartão,250.0,Estornado
186,3826,PIX,150.0,Pendente
187,4657,PIX,99.9,Pago
188,4403,PIX,99.9,Pago
189,255,Cartão,250.0,Pago
190,3983,Boleto,99.9,Estornado
191,95,Cartão,99.9,Pendente
192,20,Boleto,99.9,Pago
193,559,Boleto,250.0,Pago
194,4261,Cartão,250.0,Estornado
195,518,Boleto,99.9,Pago
196,2082,Boleto,250.0,Pendente
197,2439,Boleto,99.9,Estornado
198,4414,Cartão,99.9,Estornado
199,3609,Boleto,250.0,Pago
200,1435,Cartão,150.0,Pendente
201,2590,Cartão,250.0,Pago
202,3325,Boleto,150.0,Pago
203,459,Cartão,99.9,Pago
204,3780,PIX,250.0,Pendente
205,1609,Boleto,150.0,Estornado
206,263,PIX,99.9,Pago
207,1215,Cartão,150.0,Pago
208,4324,PIX,150.0,Pago
209,2199,Cartão,250.0,Estornado
210,3314,Boleto,99.9,Pendente
211,4685,Boleto,250.0,Pago
212,773,Boleto,250.0,Pago
213,4743,Cartão,250.0,Pendente
214,484,PIX,250.0,Pago
215,25,Cartão,99.9,Estornado
216,1240,Cartão,250.0,Estornado
217,131,PIX,150.0,Estornado
218,1115,Boleto,99.9,Estornado
219,2535,PIX,99.9,Estornado
220,1178,Cartão,150.0,Pago
221,2114,Cartão,250.0,Estornado
222,2625,PIX,150.0,Pago
223,926,PIX,150.0,Pago
